          table_name          | rls_enabled 
------------------------------+-------------
 affiliates                   | f
 community_posts              | f
 community_reactions          | f
 conversion_events            | f
 coupons                      | f
 creator_balances             | f
 creator_kyc                  | f
 creator_payout_methods       | f
 creator_payout_request_items | f
 creator_payout_requests      | f
 creator_payouts              | f
 creator_revenue_shares       | f
 creator_subscription_orders  | f
 email_events                 | f
 forms                        | f
 guest_leads                  | f
 lead_form                    | f
 linkinbio_blocks             | f
 linkinbio_items              | f
 linkinbio_pages              | f
 media_library                | f
 notifications                | f
 order_items                  | f
 order_referrals              | f
 orders                       | f
 payment_requests             | f
 payment_submissions          | f
 product_files                | f
 product_licenses             | f
 product_view_events          | f
 products                     | f
 profiles                     | f
 public_images                | t
 referral_codes               | f
 service_bookings             | f
 services                     | f
 site_design_tokens           | f
 site_main                    | f
 site_navigation              | f
 site_page_views              | f
 site_product_assignments     | f
 site_sections_config         | f
 site_singlepage              | f
 site_templates               | f
 sites                        | f
 storage_file_usages          | f
 storage_files                | f
 subscription_plans           | f
 subscriptions                | f
 transaction_ledger           | f
 upsell_pages                 | f
 user_carts                   | f
 user_product_access          | f
 user_referrals               | f
 user_roles                   | f
 user_wallet_transactions     | f
 user_wallets                 | f
 user_wishlist                | f
 users                        | f
(59 rows)

